Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Poster,Description
Ji Woon-soo's Stroke of Luck,Stroke of Luck,Lee Kyung-mi,"Moon Woo-sung
Oh Sang-hoon","Im Chang-jung
Seo Young-hee",Comedy,TV Chosun,20,"21 April –
24 June 2012",N/A,"Ji Woon-soo is an average office worker who dreams of turning his life around. He is unlucky at everything he does and is never proactive about anything. Until one day, he experiences a stroke of extremely good luck and wins the lottery, going through the many ups and downs that follow.[1][2]"
Pinocchio (2014 TV series),N/A,Park Hye-ryun,"Jo Soo-won
Shin Seung-woo","Lee Jong-suk
Park Shin-hye
Kim Young-kwang
Lee Yu-bi","Romance
Drama
Comedy
Family",Seoul Broadcasting System,20,"12 November 2014 –
15 January 2015",N/A,"In the year 2000, Ki Ha-myung is leading a happy life with his parents and elder brother, Jae-myung, until his father, Ki Ho-sang, the captain of a firefighting squad, dies in a factory explosion during a rescue attempt, along with several of his men. Ho-sang's body initially goes missing, and the mediasensationalizesthe case byscapegoatinghim. In a battle for ratings, cold and calculating MSC reporter Song Cha-Ok alleges that Ho-sang survived the blast and is currently in hiding because he was responsible for the deaths of his men. This causes the Ki family to becomeoutcastsin their neighborhood and objects of national scorn. Ki Ho-sang's wife kills herself and Ha-myung by jumping off a cliff, and the elder son, Jae-myung, blames their deaths on the media, particularly Cha-ok."
Maestra: Strings of Truth,N/A,"Choi Yi-yoon[4]
Hong Jung-hee[4]",Kim Jung-kwon[5],"Lee Young-ae
Lee Moo-saeng
Kim Young-jae
Hwang Bo-reum-byeol","Mystery[1]
Thriller[1]
Music[2]",tvN,12,"December 9, 2023 –
January 14, 2024",N/A,The series is about a secretive femaleconductorwho faces the truth surrounding her by digging into the mysterious incidents that happen within herorchestra.[14][15]
Extraordinary You,"July Found by Chance
Suddenly One Day","In Ji-hye
Song Ha-young",Kim Sang-hyeop [ko],"Kim Hye-yoon
Rowoon
Lee Jae-wook
Lee Na-eun
Jung Gun-joo
Kim Young-dae
Lee Tae-ri","Fantasy[1]
Romance[1]
Comedy[1]",MBC TV,32[b],"October 2 –
November 21, 2019",N/A,"The series follows high school girl Eun Dan-oh (Kim Hye-yoon) who is a student at a prestigious academy. One day, by chance, she discovers that the world she lives in is afantasy worldofcomics. She and everyone else are merelycharactersin a comic book entitledSecret,[c]all under the authority of their omnipotent and omniscient Writer. Dan-oh is only an extra character and, worse, the Writer gave her a lameset-up: she is engaged to her long-time crush who despises her, and she has a heart disease and is expected to die soon."
Playful Kiss,"Mischievous Kiss
Naughty Kiss",Go Eun-nim,"Hwang In-roi
Kim Do-hyung","Kim Hyun-joong
Jung So-min
Lee Tae-sung
Lee Si-young","Romance
Comedy",Munhwa Broadcasting Corporation,"16
7 (YouTube Special Edition)","September 1 –
October 21, 2010",N/A,"A ditsy and unpopular Oh Ha-Ni (Jung So-Min) is in love with her opposite, Baek Seung-Jo (Kim Hyun-Joong) who is a smart and popular boy and never accepts her feelings. Tension rises when Oh Ha-Ni and her dad have to live in the same home as Baek Seung-Jo and his parents due to unexpected reasons"
My Healing Love,N/A,Won Young-ok,Kim Sung-yong,"So Yoo-jin
Yeon Jung-hoon
Yoon Jong-hoon","Drama
Romantic comedy
Family",MBC TV,80,"October 14, 2018 –
March 3, 2019",N/A,Im Chi-woo (So Yoo-jin) is someone who always bravely faces challenges that are thrown in her life.[1]
Lovely Runner,N/A,Lee Si-eun,"Yoon Jong-ho
Kim Tae-yeop","Byeon Woo-seok
Kim Hye-yoon
Song Geon-hee
Lee Seung-hyub","Time slip[1]
Romantic comedy[1]
Fantasy[2]",tvN,16,"April 8 –
May 28, 2024",N/A,"In the world of stardom, Ryu Sun-jae shines as a top-tier celebrity whose life, despite its public facade, is marred by exhaustion. Im Sol, an ardent admirer of Sun-jae, finds solace in his music after an accident in her teenage years derailed her dreams."
Hero (2009 TV series),N/A,Park Ji-suk,"Kim Kyung-hee
Lee Dong-yoon","Lee Joon-gi
Yoon So-yi
Um Ki-joon
Baek Yoon-sik","Comedy
Action
Drama",Munhwa Broadcasting Corporation,16,"November 18, 2009 –
January 14, 2010",N/A,"Jin Do-hyuk (Lee Joon-gi) lost his parents at an early age after they were killed in ahit-and-runcar accident. His older sister, Do-hee (Jang Young-nam), raised him, though she is immature and impulsive, and often takes Do-hyuk's money if he has any. Do-hyuk wants to become a journalist like his father, and his dream job is to work at the prestigious newspaperDaese Ilbo. But because of their poor financial situation, Do-hyuk is unable to attend college. Instead, he gets hired at the tabloidMonday Seoul, famous for its scandalous articles and ruthless paparazzi. Still, the optimistic and energetic Do-hyuk does his best and uses any means necessary to cover a story."
Love (ft. Marriage and Divorce),N/A,Phoebe,"Yoo Jung-joon (S1–2)
Lee Seung-hoon (S1–2)
Oh Sang-won (S3)
Choi Young-su (S3)","Sung Hoon
Lee Tae-gon
Park Joo-mi
Lee Ga-ryeong
Lee Min-young
Jeon Soo-kyeong
Jeon No-min
Moon Sung-ho
Kang Shin-hyo
Bu Bae
Gee Young-san
Song Ji-in
Lim Hye-young",Melodrama,TV Chosun,48,"January 23, 2021 –
May 1, 2022",N/A,"The series tells the story of three married couples, each in their 30s, 40s and 50s."
Bizarre Bunch,"Peculiar Man, Eccentric Woman
Bizarre Family
Odd Man and Woman",N/A,N/A,"Jung Joon
Go Joo-won
Kim Ah-joong
Kim Sung-eun",N/A,KBS1,170,"September 26, 2005 –
May 19, 2006",N/A,"The story follows an extended family's love dilemmas, family arguments and family secrets."
A Witch's Love,N/A,"Lee Sun-jung
Ban Ki-ri",Lee Jung-hyo,"Uhm Jung-hwa
Park Seo-joon","Romance, Comedy",tvN,16,"April 14 –
June 10, 2014",N/A,"Sparks fly when Ji-yeon (Uhm Jung-hwa) and Dong-ha (Park Seo-joon) meet, and despite the age difference, they find a lot in common with each other, including their scarred hearts."
The Divorce Insurance,N/A,Lee Tae-yoon,"Lee Won-suk
Choi Bo-kyung","Lee Dong-wook
Lee Joo-bin
Lee Kwang-soo
Lee Da-hee","Workplace
Romantic comedy",tvN,12,"March 31 –
May 6, 2025",N/A,"Noh Ki-jun is a successful actuary at an insurance company whose love going badly. After going through three divorces and losing a lot of money and happiness each time, he decides to make a new kind of insurance: divorce insurance. As Ki-jun works through the challenges of creating and launching this unique product, on his journey, he faces different types of problems at work and in his personal life. Ki-jun works with a group of co-workers, each with their special traits and backgrounds, as they try to determine how much divorce costs and learn more about love and relationships. As Ki-jun looks more closely at divorce, he starts to think about his past relationships and why they did not work out. He begins to like one of his coworkers, which could lead to a workplace romance."
Falling for Challenge,"Falling for Dojeon
Falling in Love with a Challenge","Seo Dong-sung
Im Suk-jin","Lee Ki-pyo
Kim Hyung-jin
Park Ji-an","Kim Min-seok
Kim So-eun
Jang Hee-ryung
Jang Yoo-sang","Web series, Romance, Drama",Naver TV Cast,6,"October 26 –
October 30, 2015",N/A,"Na Do-jeon is a timid but bright boy who works part-time as aPierrotbecause he genuinely loves making people laugh. Ban Ha-na is a girl that dreams of having her ownfood truckand developing a food truckapp. The two coincidentally run into each other and slowly form a relationship over subsequent meetings. This is the story of their single-handed fight to prevent the closure of the ""One Plus One""hobby clubwhere they fell in love.[5]"
A Virtuous Business,N/A,Choi Bo-rim,Jo Woong,"Kim So-yeon
Yeon Woo-jin
Kim Sung-ryung
Kim Sun-young
Lee Se-hee",Comedy drama,JTBC,12,"October 12 –
November 17, 2024",N/A,"The plot follows the independence, growth and friendship of the four Bangpan Sisters, who jump into door-to-door sales of adult products in a rural village in 1992, when sex was still a taboo topic."
I'm Not a Robot,"I Am Not a Robot
She's Not a Robot?!","Kim Sun-mi
Lee Seok-joon",Jung Dae-yoon,"Yoo Seung-ho
Chae Soo-bin
Um Ki-joon","Romantic comedy
Sci-fi[1]",MBC TV,16[2],"December 6, 2017 –
January 25, 2018",N/A,"Kim Min-kyu (Yoo Seung-ho) lives a luxurious but isolated life due to a severe allergy to physical contact with other human beings. He develops extreme life-threatening rashes that rapidly spread over his body whenever he has any form of skin contact. Jo Ji-ah (Chae Soo-bin) is trying to create businesses based on her inventions, notably two-networked heart-shaped lamps."
Blade Man,Iron Man,Kim Kyu-wan,"Kim Yong-soo
Kim Jong-yeon","Lee Dong-wook
Shin Se-kyung","Romance
Fantasy
Drama
Comedy",Korean Broadcasting System,18,"September 10 –
November 13, 2014",N/A,"Joo Hong-bin (Lee Dong-wook) is a wealthy man with a prickly demeanor who develops a supernatural ability - his anger and mental pain manifest as knives sprouting from his body. He meets Son Se-dong (Shin Se-kyung), a warmhearted girl who becomes entangled in his life. As they fall in love, she slowly heals his heart and he learns to deal with his inner pain and newfound power.[4]"
Introverted Boss,"Introvert Boss
My Shy Boss[1]
Sensitive Boss",Joo Hwa-mi,Song Hyun-wook,"Yeon Woo-jin
Park Hye-su
Gong Seung-yeon
Yoon Park","Romance
Comedy",tvN,16,"January 16 –
March 14, 2017",N/A,"Unbeknownst to his employees, Eun Hwan-ki (Yeon Woo-jin) is the timid CEO of a public relations company. Chae Ro-woon (Park Hye-soo), an energetic woman recognized for her hard work, starts working at Hwan-ki's company and plans to reveal his identity."
Live On (TV series),N/A,Bang Yoo-jung[1],Kim Sang-woo[1],"Jung Da-bin
Hwang Min-hyun
Noh Jong-hyun
Yang Hye-ji
Yeonwoo
Choi Byung-chan","Coming-of-age
Drama
Teen",JTBC,8,"November 17, 2020 –
January 12, 2021",N/A,"A story of love and friendship unfolds in a school wheresocial mediais a defining force and everybody is judged according to the person'slooks,fashion senseandpopularity."
Dream High 2,N/A,"Heo Sung-hye (Ep. 1–6)
Jang Eun-mi (Ep. 7–16)","Lee Eung-bok
Mo Wan-il","Kang So-ra
Jeong Jin-woon
Jay B
Park Ji-yeon
Hyolyn
Ailee
Park Seo-joon","Music
Teen
Comedy
Drama
Romance",KBS2,16,"January 30 –
March 20, 2012",N/A,"Like its predecessorDream High, it follows a group of students at the Kirin High School of Art stars who pursue their dream of becomingK-popstars. However, it has a slight difference in terms of plot with its new set of student casts."
"Hello, My Twenties!",Age of Youth[1],Park Yeon-seon,"Lee Tae-gon
Kim Sang-ho","Han Ye-ri
Han Seung-yeon
Park Eun-bin
Ryu Hwa-young
Park Hye-su
Ji Woo
Choi Ara","Romance
Mystery",JTBC,26,"July 22, 2016 –
October 7, 2017",N/A,"A slice-of-life story about five girls who live together in asharehousecalled ""Belle Epoque"" and how they connect over the growing pains in their youth. It is based on the issues that younger generations are likely to face in South Korea."
Be Melodramatic,Melo Is My Nature,"Lee Byeong-heon
Kim Young-young","Lee Byeong-heon
Kim Hye-young","Chun Woo-hee
Jeon Yeo-been
Han Ji-eun
Ahn Jae-hong
Gong Myung",Romantic comedy,JTBC,16,"August 9 –
September 28, 2019",N/A,"A romantic comedy that depicts the daily lives of 30-year-old best friends Lim Jin-joo (Chun Woo-hee), Lee Eun-jung (Jeon Yeo-been) and Hwang Han-joo (Han Ji-eun), using a show within a show as the backdrop."
Land of Wine,N/A,N/A,N/A,"Kim Jaewon
Kim Min-jung
Choi Kang-hee
Lee Dong-wook",Drama,SBS,16,"April 9 –
May 29, 2003",N/A,"In a place far from the town lived a boy and a girl. The girl's name was Lee Sun-hee. Her grandfather and father were selling traditional wine to earn money. They produce their own wine in a small shop. The boy's name was Suh Joon (Kim Jae Won). His parents, and Sun-hee's father and grandfather lived together."
The Emperor: Owner of the Mask,N/A,Park Hye-jin,"Noh Do-chul
Park Won-gook","Yoo Seung-ho
Kim So-hyun
Kim Myung-soo
Yoon So-hee
Huh Joon-ho
Park Chul-min","Historical
Political
Melodrama
Romance",MBC TV,40[a],"May 10 –
July 13, 2017",N/A,"During theJoseonperiod, the long-awaited son of King Yi Yoon is born, but in exchange for his life, the king will hand over the power of the Bureau of Water Supply to the secret society ""Pyunsoo Group"" that controls the government.  The king covers the Crown Prince's face with a mask and raises him secretly in order to protect him from the Pyunsoo Group."
Adult Trainee,N/A,N/A,"Yoo Hak-chan
Jeong Hyeong-gun","Ryu Ui-hyun
Cho Mi-yeon
Jo Yoo-jung
Ryeoun
Kwon Young-eun
Kim Min-gi","Romantic comedy
Teen",TVING,7,"November 12, 2021 –
November 2021",N/A,"The series follows a group of young people and their struggles with love, and it's divided in three parts."
Prime Minister & I,Prime Minister is Dating,"Kim Eun-hee
Yoon Eun-kyung",Lee So-yeon,"Im Yoon-ah
Lee Beom-soo
Yoon Shi-yoon
Chae Jung-an
Ryu Jin","Comedy
Romance
Drama",KBS2,17,"December 9, 2013 –
February 4, 2014",N/A,"At 42 years old, Kwon Yul (Lee Beom-soo) is South Korea's youngest prime minister ever. On top of his reputation as an honest man of the utmost integrity, he's also a widower as his wife died in a car accident 7 years ago and raises his three children alone. But what the public doesn't know is that despite his perfect image, Yul is actually a struggling father devoid of even the most basic of parenting skills. Nam Da-jung (Im Yoon-ah) is a journalist from Scandal News who resorts to writing for a trashy tabloid to support her ailing father, but when she chases Prime Minister Kwon for a lucrative exposé, she ends up scooping a whole lot more than she bargained for and the two ended up in a contract marriage and later on fell in love with each other.[5]"
Sweet Revenge 2,N/A,"Han Sang-im
Kim Jong-seon
Shim Min-sun","Oh Seung-yeol
Seo Jae-joo","Ahn Seo-hyun
Samuel
Ji Min-hyuk
Kim Ye-eun","Coming of age
Revenge",XtvN,16,"August 13 –
October 9, 2018",N/A,Oh Ji-na discovers an application on her phone which takes revenge on anyone whose name is written in it.
Papa (TV series),N/A,Oh Soo-yeon,Jeon Ki-sang[1],"Bae Yong-joon
Lee Young-ae","Romance
Drama
Family",Korean Broadcasting System,18,"January 3 –
February 29, 1996",N/A,"The prologue of the story is not shown in the first episode, but is revealed through flashbacks in various parts of the drama series, notably when a character is thinking about his past experiences.[citation needed]"
